id,tier,tierLabel,name,prototype,excluded,status,size,filePath,imageUrl,note
105,6,Ⅵ阶,塑心,Touch(卫戍协议),false,ok,46613,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\105_Ⅵ阶_塑心.png,https://media.prts.wiki/0/05/%E5%A4%B4%E5%83%8F_%E5%A1%91%E5%BF%83.png?v=bxclboldsgpc5grzx42xdm0jzkd03gf,
106,6,Ⅵ阶,缪尔赛思,郁金香(卫戍协议),false,ok,36750,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\106_Ⅵ阶_缪尔赛思.png,https://media.prts.wiki/3/3a/%E5%A4%B4%E5%83%8F_%E7%BC%AA%E5%B0%94%E8%B5%9B%E6%80%9D.png?v=0glhi7ib6ywl4vw7yivef16vbdqbhkp,
107,6,Ⅵ阶,迷迭香,Pith(卫戍协议),false,ok,49361,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\107_Ⅵ阶_迷迭香.png,https://media.prts.wiki/3/3b/%E5%A4%B4%E5%83%8F_%E8%BF%B7%E8%BF%AD%E9%A6%99.png?v=66djrrwric5g0dfuswhriarag1xw3bv,
108,6,Ⅵ阶,新约能天使,Misery(卫戍协议),false,ok,63413,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\108_Ⅵ阶_新约能天使.png,https://media.prts.wiki/3/3a/%E5%A4%B4%E5%83%8F_%E6%96%B0%E7%BA%A6%E8%83%BD%E5%A4%A9%E4%BD%BF.png?v=av70a5muiedbvs9idgotrvdhimpe2ec,
109,6,Ⅵ阶,流明,,false,ok,33749,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\109_Ⅵ阶_流明.png,https://media.prts.wiki/7/72/%E5%A4%B4%E5%83%8F_%E6%B5%81%E6%98%8E.png?v=g7q9utw0160d0a705vh92yx09zmqpfo,
110,6,Ⅵ阶,仇白,Raidian(卫戍协议),false,ok,40524,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\110_Ⅵ阶_仇白.png,https://media.prts.wiki/8/8a/%E5%A4%B4%E5%83%8F_%E4%BB%87%E7%99%BD.png?v=d0m9sb0uavdepjuc45csvghm9tnkke2,
111,6,Ⅵ阶,溯光星源,,false,ok,73038,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\111_Ⅵ阶_溯光星源.png,https://media.prts.wiki/d/d0/%E5%A4%B4%E5%83%8F_%E6%BA%AF%E5%85%89%E6%98%9F%E6%BA%90.png?v=tvum6znrfxc8fjixtuk5lfdzds4ws74,
112,6,Ⅵ阶,耀骑士临光,郁金香(卫戍协议),false,ok,44630,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\112_Ⅵ阶_耀骑士临光.png,https://media.prts.wiki/0/03/%E5%A4%B4%E5%83%8F_%E8%80%80%E9%AA%91%E5%A3%AB%E4%B8%B4%E5%85%89.png?v=4t0ppza5ge4uxpeg9l0v6ox8ii69dvg,
113,6,Ⅵ阶,荒芜拉普兰德,Pith(卫戍协议),false,ok,42636,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\113_Ⅵ阶_荒芜拉普兰德.png,https://media.prts.wiki/0/04/%E5%A4%B4%E5%83%8F_%E8%8D%92%E8%8A%9C%E6%8B%89%E6%99%AE%E5%85%B0%E5%BE%B7.png?v=6co3ll60y706ao01a85ocyka88xr5do,
114,6,Ⅵ阶,锏,Misery(卫戍协议),false,ok,56762,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\114_Ⅵ阶_锏.png,https://media.prts.wiki/0/0f/%E5%A4%B4%E5%83%8F_%E9%94%8F.png?v=adgujoovt19nkqsjha08obtkygf425m,
115,6,Ⅵ阶,纯烬艾雅法拉,Touch(卫戍协议),false,ok,57966,D:\大黄算法？？？\卫戍协议干员头像包\06_VI阶\115_Ⅵ阶_纯烬艾雅法拉.png,https://media.prts.wiki/f/f0/%E5%A4%B4%E5%83%8F_%E7%BA%AF%E7%83%AC%E8%89%BE%E9%9B%85%E6%B3%95%E6%8B%89.png?v=6afevkucqk7rf2h4dkhzu6pxxu4xi39,
